URLs to scrape: 1491
  [136/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%97%d7%93%d7%a8-%d7%a9%d7%9c%d7%99/ (18784 bytes)
  [137/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%95%d7%a8%d7%92/ (17567 bytes)
  [138/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%97%d7%96%d7%a7%d7%aa-%d7%a1%d7%90%d7%98%d7%9e%d7%a8/ (21663 bytes)
  [139/1491] ✓ https://nfct.org.il/blog/movies/%d7%90-%d7%a7%d7%99%d7%a6%d7%a2%d7%a8-2021/ (15902 bytes)
  [140/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%98%d7%a8%d7%a0%d7%93/ (15808 bytes)
  [141/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%99%d7%93%d7%95%d7%93-%d7%9c%d7%97%d7%95%d7%9e%d7%a8%d7%90/ (15667 bytes)
  [142/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%99%d7%99%d7%a9%d7%a0%d7%95%d7%aa-%d7%94%d7%9b%d7%aa%d7%a8/ (18379 bytes)
  [143/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%98%d7%95%d7%9f/ (18299 bytes)
  [144/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%99%d7%9f-%d7%94%d7%a0%d7%92%d7%91-%d7%9c%d7%92%d7%9c%d7%99%d7%9c/ (19293 bytes)
  [145/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%99%d7%9f-%d7%94%d7%a1%d7%93%d7%99%d7%a0%d7%99%d7%9d/ (17852 bytes)
